group,start,end,n_obs,dof,hac_lags,coefficient,estimate,se_hac,t_hac,ci_low,ci_high
rolling_16,2021-07-02,2025-07-02,16,9,2,alpha,0.00496019653060104,0.009246567701228463,0.5364365125388145,-0.013163076163806749,0.023083469225008826
rolling_16,2021-07-02,2025-07-02,16,9,2,Mkt-RF,1.0405589378508047,0.13518078089927932,7.6975360767157115,0.7756046072882172,1.305513268413392
rolling_16,2021-07-02,2025-07-02,16,9,2,SMB,0.04583226593990686,0.16679124281282795,0.2747882033071696,-0.28107856997323594,0.37274310185304965
rolling_16,2021-07-02,2025-07-02,16,9,2,HML,0.19808927725359787,0.10808400514818231,1.8327344270969517,-0.013755372836839447,0.4099339273440352
rolling_16,2021-07-02,2025-07-02,16,9,2,RMW,0.10359911223025053,0.2475382851592346,0.41851753220156657,-0.38157592668184925,0.5887741511423503
rolling_16,2021-07-02,2025-07-02,16,9,2,CMA,0.03022622097798322,0.1187662222095551,0.2545018307027655,-0.20255557455274478,0.2630080165087112
rolling_16,2021-07-02,2025-07-02,16,9,2,Mom,0.08678514844126028,0.09081641885308989,0.9556107754221093,-0.09121503251079588,0.26478532939331645
rolling_20,2016-07-02,2021-07-02,20,13,2,alpha,0.006282797862899107,0.00706519641789638,0.8892601834797641,-0.007564987116177798,0.02013058284197601
rolling_20,2016-07-02,2021-07-02,20,13,2,Mkt-RF,0.8446538475243259,0.3166027487192714,2.667866438118869,0.22411246003455398,1.465195235014098
rolling_20,2016-07-02,2021-07-02,20,13,2,SMB,0.2930982929473084,0.43355671618993713,0.6760321821860666,-0.5566728707849684,1.1428694566795852
rolling_20,2016-07-02,2021-07-02,20,13,2,HML,-0.1603999175702528,0.15026100745727733,-1.0674753236687715,-0.45491149218651633,0.13411165704601075
rolling_20,2016-07-02,2021-07-02,20,13,2,RMW,0.9820024395456616,1.0178036830895958,0.9648250009910971,-1.0128927793099463,2.976897658401269
rolling_20,2016-07-02,2021-07-02,20,13,2,CMA,0.20104252703094538,0.5840860678595308,0.3442001754427995,-0.943766165973735,1.3458512200356259
rolling_20,2016-07-02,2021-07-02,20,13,2,Mom,-0.30570796722314114,0.23939398479460486,-1.2770077221674234,-0.7749201774205667,0.1635042429742844
rolling_20,2016-10-02,2021-10-04,20,13,2,alpha,0.007309279992001367,0.006876557056502987,1.062927266063933,-0.006168771838744489,0.020787331822747224
rolling_20,2016-10-02,2021-10-04,20,13,2,Mkt-RF,0.8291017592407384,0.2932927934376031,2.826873955964167,0.2542478841030362,1.4039556343784405
rolling_20,2016-10-02,2021-10-04,20,13,2,SMB,0.29558259898017314,0.4289016038368947,0.6891617945373296,-0.5450645445401404,1.1362297425004866
rolling_20,2016-10-02,2021-10-04,20,13,2,HML,-0.14336255378154436,0.16963717372247555,-0.8451128407508358,-0.4758514142775965,0.18912630671450772
rolling_20,2016-10-02,2021-10-04,20,13,2,RMW,1.006133567726245,0.9958563753239998,1.0103199544200352,-0.9457449279087946,2.9580120633612847
