symbol,prices_first,prices_last,prices_rows,archive_prices_first,archive_prices_last,archive_prices_rows,facts_first,facts_last,facts_rows,candidate_facts_first,candidate_facts_last,candidate_facts_rows
SYMC,,,0,2003-09-10,2015-12-31,3100,,,0,2009-08-05,2015-11-06,857
SYY,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-11-03,2015-11-03,821,,,0
T,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-08-05,2015-11-06,882,,,0
TA,,,0,,,0,,,0,,,0
TAP,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-08-04,2015-11-05,937,,,0
TCOMA,,,0,,,0,,,0,,,0
TDC,2007-10-01,2015-12-31,2079,2007-09-12,2015-12-31,2092,2010-08-05,2015-11-06,793,,,0
TDM,,,0,,,0,,,0,,,0
TE,,,0,,,0,,,0,,,0
TEG,,,0,2000-01-03,2015-06-29,3896,,,0,2010-08-05,2015-08-05,736
TEK,,,0,,,0,,,0,,,0
TEL,2007-06-14,2015-12-31,2154,2007-06-14,2015-12-31,2154,2009-07-31,2015-11-10,1096,,,0
TEN,,,0,,,0,,,0,,,0
TER,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2010-08-12,2015-11-13,785,,,0
TEX,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,,,0,2009-07-30,2015-10-23,841
TGNA,,,0,2000-01-03,2015-12-31,4025,,,0,2009-07-30,2015-11-06,931
TGT,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-08-28,2015-11-25,903,,,0
THC,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,,,0,2010-08-03,2015-11-02,593
THY,,,0,,,0,,,0,,,0
TIE,,,0,2000-01-03,2013-01-07,3273,,,0,2010-08-03,2012-11-13,355
TIF,,,0,2000-01-03,2015-12-31,4025,,,0,2010-09-02,2015-11-24,986
TIN,,,0,2000-01-03,2015-12-31,4025,,,0,2010-08-09,2011-11-07,198
TJX,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-08-28,2015-12-01,876,,,0
TKR,,,0,2000-01-03,2015-12-31,4025,,,0,,,0
TLAB,,,0,2000-01-03,2013-12-03,3502,,,0,2010-08-10,2013-10-31,561
TMC,,,0,,,0,,,0,,,0
TMC-A,,,0,,,0,,,0,,,0
TMK,,,0,2003-09-10,2015-12-31,3100,,,0,2009-08-07,2015-11-06,821
