year,as_of,symbol,cik,entity_id,identity_tier,expected_sessions,yahoo_sessions,yahoo_first,yahoo_last,finsaber_sessions,finsaber_first,finsaber_last,overlap_returns,overlap_status,overlap_p99,known_cik_conflict,selected_source,coverage_status,price_attribution,price_source_status,terminal_status,identity_valid_from,identity_valid_to,membership_end_reason,sic,membership_exit_next_365d
2014,2014-06-30,APD,0000002969,cik:0000002969,corroborated_candidate,253,253,2013-06-28,2014-06-30,253,2013-06-28,2014-06-30,252,divergent_overlap,0.0061240423747407876,False,yahoo,complete,accredited_entity_interval,tier_a,none,1996-01-02,2016-01-01,source_boundary,2810,False
2014,2014-06-30,APH,0000820313,cik:0000820313,corroborated_candidate,253,253,2013-06-28,2014-06-30,253,2013-06-28,2014-06-30,252,consistent_overlap,1.3479463263977871e-05,False,yahoo,complete,accredited_entity_interval,tier_a,none,2008-09-30,2016-01-01,source_boundary,3678,False
2014,2014-06-30,APTV,0001521332,cik:0001521332,corroborated_candidate,253,253,2013-06-28,2014-06-30,253,2013-06-28,2014-06-30,252,consistent_overlap,2.188071415345494e-06,False,yahoo,complete,accredited_entity_interval,tier_a,none,2012-12-24,2016-01-01,source_boundary,3714,False
2014,2014-06-30,ARG,0000804212,cik:0000804212,confirmed_by_multiple_evidence,253,0,,,253,2013-06-28,2014-06-30,0,insufficient_overlap,,False,,archive_evidence_missing,legacy_symbol_unattributed,excluded,none,2009-09-09,2016-01-01,source_boundary,5084,False
2014,2014-06-30,ARNC,,,,253,0,,,0,,,0,insufficient_overlap,,False,,identity_unresolved,legacy_symbol_unattributed,excluded,none,1996-01-02,2016-01-01,source_boundary,,False
2014,2014-06-30,ATI,0001018963,cik:0001018963,corroborated_candidate,253,253,2013-06-28,2014-06-30,253,2013-06-28,2014-06-30,252,consistent_overlap,2.7721264712632368e-06,False,yahoo,complete,accredited_entity_interval,tier_a,none,1996-01-02,2015-07-02,exit,3317,False
2014,2014-06-30,AVB,0000915912,cik:0000915912,corroborated_candidate,253,0,,,253,2013-06-28,2014-06-30,0,insufficient_overlap,,False,,archive_evidence_missing,legacy_symbol_unattributed,excluded,none,2007-01-10,2016-01-01,source_boundary,6798,False
2014,2014-06-30,AVGO,,,,253,253,2013-06-28,2014-06-30,253,2013-06-28,2014-06-30,252,consistent_overlap,5.9216233453487434e-05,False,,identity_unresolved,legacy_symbol_unattributed,excluded,none,2014-05-08,2016-01-01,source_boundary,,False
2014,2014-06-30,AVP,0000008868,cik:0000008868,corroborated_candidate,253,0,,,253,2013-06-28,2014-06-30,0,insufficient_overlap,,False,,archive_evidence_missing,legacy_symbol_unattributed,excluded,none,1996-01-02,2015-03-23,exit,2844,True
2014,2014-06-30,AVY,0000008818,cik:0000008818,corroborated_candidate,253,253,2013-06-28,2014-06-30,253,2013-06-28,2014-06-30,252,consistent_overlap,2.4583382148968272e-06,False,yahoo,complete,accredited_entity_interval,tier_a,none,1996-01-02,2016-01-01,source_boundary,2670,False
