symbol,cik,historical_name,sha256,accession,filed_date,source_url,candidate_status,member_in_fja
ACT,0000884629,"Actavis, Inc.",b562d43431470a223220d32e46d86eb2a489203c794b36a1489f3e0363f05f6a,0001193125-13-307866,2013-07-30,https://www.sec.gov/Archives/edgar/data/884629/000119312513307866/act-20130630.xml,agrees,False
LIFE,0001073431,Life Technologies Corp,c08555f8bdd52a1e35f1aa7e85b167bdab8bf9dce87d60d70b91588cf5df2c80,0001193125-13-315192,2013-08-01,https://www.sec.gov/Archives/edgar/data/1073431/000119312513315192/life-20130630.xml,agrees,True
YHOO,0001011006,YAHOO INC,51870c628c058fa6b2a9e9f354eb3d7004cc2bc2446cb2cfab0c1fa4993c0f26,0001193125-13-327068,2013-08-08,https://www.sec.gov/Archives/edgar/data/1011006/000119312513327068/yhoo-20130630.xml,agrees,False
BEAM,0000789073,BEAM INC,7034978b07ab68f7c36c305fe50428366809f5955760aef23e11a5e89a0da779,0001193125-13-328950,2013-08-09,https://www.sec.gov/Archives/edgar/data/789073/000119312513328950/beam-20130630.xml,agrees,True
WMIH,0000933136,WMI HOLDINGS CORP.,7de09b32e479ccbf3531f79a36625d177e41aef89ad3aacb9243787ab4601548,0001193125-13-329341,2013-08-09,https://www.sec.gov/Archives/edgar/data/933136/000119312513329341/wmih-20130630.xml,missing,False
AMBC,0000874501,AMBAC FINANCIAL GROUP INC,81205ec82bcadf089bab10667a994d8c097af01566e878ca4f4244e453403bea,0001193125-13-334909,2013-08-14,https://www.sec.gov/Archives/edgar/data/874501/000119312513334909/ambc-20130630.xml,missing,False
ACT,0000884629,"Actavis, Inc.",05a5f4d27760586283425425855af16d7b82dda4f3844f578bd30a628c51bf19,0001193125-13-419835,2013-10-31,https://www.sec.gov/Archives/edgar/data/884629/000119312513419835/act-20130930.xml,agrees,False
LIFE,0001073431,Life Technologies Corp,fa2ba176b57a91bb0c3d00db2770f560a347dfeeba1b13cc8d8c42e3f277c3d9,0001193125-13-427932,2013-11-05,https://www.sec.gov/Archives/edgar/data/1073431/000119312513427932/life-20130930.xml,agrees,True
BEAM,0000789073,BEAM INC,a6834499ac7ac9bf545840f4a59a023058e6e9b65542ac36e2c6d638092e5a55,0001193125-13-432988,2013-11-07,https://www.sec.gov/Archives/edgar/data/789073/000119312513432988/beam-20130930.xml,agrees,True
WMIH,0000933136,WMI HOLDINGS CORP.,b6b4e072a3832d401658491403417058e7440e6b7ae78b5414c2918824f99db9,0001193125-13-435176,2013-11-08,https://www.sec.gov/Archives/edgar/data/933136/000119312513435176/wmih-20130930.xml,missing,False
